gender,ethnicity,age_category,year_assessment,height,weight,bmi
Girl,Turkish,13-16 years,1999,158,50,20.028842
Boy,Dutch,13-16 years,1999,158,41,16.42365
Boy,Maroccan,13-16 years,1999,161,51,19.675167
Girl,Dutch,13-16 years,1999,162,65.5,24.958086
Girl,Surinamese South Asian,13-16 years,1999,161,70,27.005131
Boy,Dutch,13-16 years,1999,165,50,18.365473
Girl,Maroccan,13-16 years,1999,158,66,26.438071
Girl,Dutch,13-16 years,1999,164,73,27.141582
Boy,Surinamese South Asian,13-16 years,1999,155,41,17.065557
Boy,Turkish,13-16 years,1999,165,58,21.303949
Girl,Dutch,13-16 years,1999,170,58,20.069204
Girl,Dutch,13-16 years,1999,169,64,22.408179
Boy,Surinamese South Asian,13-16 years,1999,168,60,21.258503
Boy,Turkish,13-16 years,1999,173,55,18.376825
Boy,Surinamese South Asian,13-16 years,1999,185,65,18.991965
Boy,Turkish,13-16 years,1999,163,66,24.84098
Girl,Dutch,13-16 years,1999,160,53.5,20.898437
Boy,Surinamese South Asian,13-16 years,1999,178,73,23.04002
Girl,Dutch,13-16 years,1999,168,66.5,23.561508
Girl,Dutch,13-16 years,1999,162,50,19.051974
Boy,Dutch,13-16 years,1999,165,45.5,16.71258
Girl,Dutch,13-16 years,1999,172,70,23.661439
Boy,Dutch,13-16 years,1999,161,57.5,22.182786
Boy,Dutch,13-16 years,1999,178,72,22.724403
Girl,Surinamese South Asian,13-16 years,1999,160,41,16.015625
Girl,Turkish,13-16 years,1999,162,84,32.007316
Boy,Dutch,13-16 years,1999,150,37.5,16.666667
Boy,Surinamese South Asian,13-16 years,1999,168,50.5,17.892574
Boy,Dutch,13-16 years,1999,170,55,19.031142
Girl,Dutch,13-16 years,1999,166,57,20.68515
Boy,Dutch,13-16 years,1999,180,64,19.753086
Boy,Dutch,13-16 years,1999,146,48,22.518296
Boy,Dutch,13-16 years,1999,153,46.5,19.864155
Boy,Dutch,13-16 years,1999,163,46,17.31341
Boy,Dutch,13-16 years,1999,172,48,16.224986
Boy,Dutch,13-16 years,1999,176,61.5,19.854081
Boy,Surinamese South Asian,13-16 years,1999,161,36.5,14.081247
Girl,Surinamese South Asian,13-16 years,1999,143,39.5,19.316348
Boy,Dutch,13-16 years,1999,172,55,18.59113
Girl,Dutch,13-16 years,1999,165,68,24.977043
Boy,Turkish,13-16 years,1999,168,69,24.447279
Girl,Turkish,13-16 years,1999,156,120,49.309665
